ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,score
300104.SZ,2019-4-9,2.64,2.74,2.61,2.67,2.65,0.02,0.7547,1593696.66,426721.039,0.5
300104.SZ,2019-4-8,2.69,2.7,2.62,2.65,2.72,-0.07,-2.5735,1677298.4,445624.147,0.5
300104.SZ,2019-4-4,2.66,2.8,2.63,2.72,2.66,0.06,2.2556,2664007.68,723670.149,0.5
300104.SZ,2019-4-3,2.65,2.69,2.61,2.66,2.71,-0.05,-1.845,2320992.51,613953.464,0.5
300104.SZ,2019-4-2,2.62,2.76,2.62,2.71,2.91,-0.2,-6.8729,4130966.3,1113640.348,0.5
300104.SZ,2019-4-1,2.87,2.92,2.84,2.91,2.84,0.07,2.4648,1541542.5,445676.86,0.5
300104.SZ,2019-3-29,2.79,2.86,2.79,2.84,2.78,0.06,2.1583,1236876.02,349617.448,0.5
300104.SZ,2019-3-28,2.82,2.85,2.76,2.78,2.87,-0.09,-3.1359,1303115.92,365464.761,0.5
300104.SZ,2019-3-27,2.97,3,2.73,2.87,2.98,-0.11,-3.6913,1893793.63,544035.971,0.5
300104.SZ,2019-3-26,3.02,3.09,2.96,2.98,3.11,-0.13,-4.1801,2017838.16,609862.768,0.5
300104.SZ,2019-3-25,3.12,3.28,3.08,3.11,3,0.11,3.6667,2938057.19,929327.021,0.5
300104.SZ,2019-3-22,3.02,3.06,2.98,3,3.04,-0.04,-1.3158,1346159.35,404996.505,0.5
300104.SZ,2019-3-21,3.02,3.13,2.98,3.04,3.03,0.01,0.33,1887939.51,575929.639,0.5
300104.SZ,2019-3-20,3.05,3.07,2.99,3.03,3.08,-0.05,-1.6234,1700621.21,514375.765,0.5
300104.SZ,2019-3-19,3.06,3.19,3.02,3.08,3.07,0.01,0.3257,2130776.51,661489.842,0.5
300104.SZ,2019-3-18,3.06,3.09,3.01,3.07,3.08,-0.01,-0.3247,1559029.79,475996.565,0.5
300104.SZ,2019-3-15,3.04,3.1,2.99,3.08,3.03,0.05,1.6502,1741603.19,530839.631,0.5
300104.SZ,2019-3-14,3.16,3.17,2.95,3.03,3.19,-0.16,-5.0157,2168249.83,660566.383,0.5
300104.SZ,2019-3-13,3.15,3.34,3.06,3.19,3.18,0.01,0.3145,2894313.72,929124.746,0.5
300104.SZ,2019-3-12,3.29,3.37,3.13,3.18,3.21,-0.03,-0.9346,3949121.96,1281813.164,0.5
300104.SZ,2019-3-11,2.92,3.21,2.9,3.21,2.92,0.29,9.9315,2590753.49,792768.911,0.5
300104.SZ,2019-3-8,3.1,3.19,2.89,2.92,3.2,-0.28,-8.75,3326166.7,1016885.646,0.5
300104.SZ,2019-3-7,3.05,3.29,3.02,3.2,3.09,0.11,3.5599,4001432.17,1278085.946,0.5
300104.SZ,2019-3-6,2.97,3.17,2.93,3.09,3.05,0.04,1.3115,4122604.98,1249932.431,0.5
300104.SZ,2019-3-5,3,3.17,2.93,3.05,2.96,0.09,3.0405,5291192.36,1618409.396,0.5
300104.SZ,2019-3-4,2.71,2.96,2.71,2.96,2.69,0.27,10.0372,2830584.21,804969.665,0.5
300104.SZ,2019-3-1,2.71,2.73,2.65,2.69,2.72,-0.03,-1.1029,1729913,462155.6,0.5
300104.SZ,2019-2-28,2.74,2.79,2.61,2.72,2.82,-0.1,-3.5461,2341382.11,635350.117,0.5
300104.SZ,2019-2-27,2.8,2.93,2.79,2.82,2.84,-0.02,-0.7042,2441279.91,694633.692,0.5
300104.SZ,2019-2-26,2.85,2.93,2.78,2.84,2.9,-0.06,-2.069,3313957.4,944909.288,0.5
300104.SZ,2019-2-25,2.75,2.96,2.73,2.9,2.73,0.17,6.2271,3346423.75,949348.131,0.5
300104.SZ,2019-2-22,2.72,2.75,2.63,2.73,2.77,-0.04,-1.444,2039180.56,550871.974,0.5
300104.SZ,2019-2-21,2.82,2.86,2.76,2.77,2.87,-0.1,-3.4843,2315478.41,648798.543,0.5
300104.SZ,2019-2-20,2.75,2.9,2.73,2.87,2.74,0.13,4.7445,2851944.59,811040.405,0.5
300104.SZ,2019-2-19,2.73,2.8,2.7,2.74,2.76,-0.02,-0.7246,1888950.86,517070.928,0.5
300104.SZ,2019-2-18,2.61,2.84,2.61,2.76,2.63,0.13,4.943,2475859.54,668265.406,0.5
300104.SZ,2019-2-15,2.64,2.67,2.61,2.63,2.63,0,0,1129101.6,297903.74,0.5
300104.SZ,2019-2-14,2.61,2.68,2.6,2.63,2.65,-0.02,-0.7547,1398629.09,367072.637,0
300104.SZ,2019-2-14,2.61,2.68,2.6,2.63,2.65,-0.02,-0.7547,1398629.09,367072.637,0
300104.SZ,2019-2-13,2.57,2.73,2.57,2.65,2.59,0.06,2.3166,1647443.99,437286.001,0.5
300104.SZ,2019-2-12,2.5,2.62,2.49,2.59,2.56,0.03,1.1719,1508443.6,387678.909,0.5
300104.SZ,2019-2-11,2.64,2.65,2.38,2.56,2.64,-0.08,-3.0303,1853230.47,464829.143,0.5
300104.SZ,2019-2-1,2.59,2.68,2.54,2.64,2.63,0.01,0.3802,989839.75,258877.483,0.5
300104.SZ,2019-1-31,2.71,2.8,2.62,2.63,2.64,-0.01,-0.3788,1457355.83,394424.22,0.5
300104.SZ,2019-1-30,2.58,2.73,2.57,2.64,2.59,0.05,1.9305,1065592.38,282854.105,0.5
300104.SZ,2019-1-29,2.62,2.66,2.54,2.59,2.64,-0.05,-1.8939,681223.17,177078.761,0.5
300104.SZ,2019-1-28,2.64,2.69,2.59,2.64,2.63,0.01,0.3802,756732.95,199417.845,0.5
